ID,ProductName,Description,OriginalPrice,SalePrice,ImageURL,Category,Subcategory,Size,Brand,Stock,LinkRetailer,DealURL,StartDate,EndDate,discount%,Featured
www.thehockeyshop.com-J0022,Bauer 3mm Vertexx Goalie Holder,Bauer 3mm Vertexx Goalie Holder,129.99,75.00,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/bauer-goalie-skate-holders-bauer-3mm-vertexx-goalie-holder-r-10-28743925760066.jpg?v=1768001528,Accessories,Other,,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-3mm-vertexx-replacement-goal-cowling,2026-03-20,2026-04-03,42,
www.thehockeyshop.com-J0023,"Bauer 6"" Senior Swim Shorts","Bauer 6"" Senior Swim Shorts",79.99,29.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shorts-bauer-6-senior-swim-shorts-1221774494.gif?v=1771717118,Accessories,Other,Senior,Bauer,Unknown,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-6-senior-swim-shorts,2026-03-20,2026-04-03,63,
www.thehockeyshop.com-J0024,"Bauer 7"" Senior Walking Shorts","Bauer 7"" Senior Walking Shorts",79.99,20.00,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shorts-bauer-7-senior-walking-shorts-1221774505.gif?v=1771717419,Accessories,Other,Senior,Bauer,Unknown,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-7-senior-walking-shorts,2026-03-20,2026-04-03,75,
www.thehockeyshop.com-J0025,Bauer Chamonix Junior Lifestyle Recreational Skates,Bauer Chamonix Junior Lifestyle Recreational Skates,119.99,59.90,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hockey-skates-bauer-chamonix-senior-lifestyle-recreational-skates-1221792174.jpg?v=1772281031,Player Gear,Skates,Junior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-chamonix-junior-lifestyle-recreational-skates,2026-03-20,2026-04-03,50,
www.thehockeyshop.com-J0026,Bauer Colorado Junior Recreational Skates,Bauer Colorado Junior Recreational Skates,119.99,59.90,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/hockey-skates-bauer-colorado-junior-recreational-skates-1221727758.jpg?v=1772826252,Player Gear,Skates,Junior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-colorado-junior-recreational-skates,2026-03-20,2026-04-03,50,
www.thehockeyshop.com-J0027,Bauer Core Fitted Youth Hat - Black,Bauer Core Fitted Youth Hat - Black,34.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-bauer-core-fitted-youth-hat-black-1221727066.jpg?v=1772807378,Accessories,Other,Youth,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-core-fitted-youth-hat-black,2026-03-20,2026-04-03,43,
www.thehockeyshop.com-J0028,Bauer Core Senior Athletic Shorts,Bauer Core Senior Athletic Shorts,39.99,10.00,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/shorts-bauer-core-senior-athletic-shorts-1221757029.jpg?v=1773740950,Accessories,Other,Senior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-core-senior-athletic-shorts,2026-03-20,2026-04-03,75,
www.thehockeyshop.com-J0029,Bauer - Core Snapback Youth Hat,Bauer - Core Snapback Youth Hat,34.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-bauer-core-snapback-youth-hat-1221727036.png?v=1772794777,Accessories,Other,Youth,Bauer,Unknown,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-core-snapback-youth-hat-2,2026-03-20,2026-04-03,43,
www.thehockeyshop.com-J0030,Bauer Crackle OG Youth Snapback,Bauer Crackle OG Youth Snapback,39.99,19.95,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-bauer-crackle-og-youth-snapback-1221770519.gif?v=1771598897,Accessories,Other,Youth,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-crackle-og-youth-snapback,2026-03-20,2026-04-03,50,
www.thehockeyshop.com-J0031,Bauer Elite Seamless Senior Baselayer Pants - (2021),Bauer Elite Seamless Senior Baselayer Pants - (2021),109.99,92.98,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/pants-bauer-elite-seamless-senior-baselayer-pants-2021-1221731497.jpg?v=1772925457,Player Gear,Hockey Pants,Senior,Bauer,In Stock,https://www.thehockeyshop.com/collections/hockey-deals-clearance,https://www.thehockeyshop.com/products/bauer-elite-seamless-senior-baselayer-pants,2026-03-20,2026-04-03,15,
