run_id,scraped_at,import_source,external_key,source_store,source_url,source_product_id,title,price,sale_price,currency,in_stock,stock_text,image_url,description
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0011,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-dusted-imprint-river-tee-shirt-vancouver-canucks-skate-third,www.thehockeyshop.com-J0011,47 Brand Dusted Imprint River Tee Shirt - Vancouver Canucks Skate Third,49.99,29.95,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-47-brand-dusted-imprint-river-tee-shirt-vancouver-canucks-skate-third-1221788413.jpg?v=1772163851,47 Brand Dusted Imprint River Tee Shirt - Vancouver Canucks Skate Third
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0012,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-hookline-river-mens-hoody-vancouver-canucks-skate-third,www.thehockeyshop.com-J0012,47 Brand Hookline River Mens Hoody - Vancouver Canucks Skate Third,149.99,99.95,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hoodies-47-brand-hookline-river-mens-hoody-vancouver-canucks-skate-third-1221774886.png?v=1771720634,47 Brand Hookline River Mens Hoody - Vancouver Canucks Skate Third
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0013,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-nhl-clean-up-adjustable-hat-vancouver-canucks,www.thehockeyshop.com-J0013,47 Brand NHL Clean Up Adjustable Hat - Vancouver Canucks,34.99,29.98,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/hats-47-brand-nhl-clean-up-adjustable-hat-vancouver-canucks-1221730340.jpg?v=1772908571,47 Brand NHL Clean Up Adjustable Hat - Vancouver Canucks
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0014,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-nhl-golden-age-game-on-foundation-mens-shirt,www.thehockeyshop.com-J0014,47 Brand NHL Golden Age Game On Foundation Mens Shirt,69.99,39.95,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-47-brand-nhl-golden-age-game-on-foundation-mens-shirt-1221770114.webp?v=1771735298,47 Brand NHL Golden Age Game On Foundation Mens Shirt
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0015,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-nhl-patch-rope-trucker-vancouver-canucks-third-skate,www.thehockeyshop.com-J0015,47 Brand NHL Patch Rope Trucker - Vancouver Canucks Third Skate,39.99,29.98,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hats-47-brand-nhl-patch-rope-trucker-vancouver-canucks-third-skate-1221771097.gif?v=1771631771,47 Brand NHL Patch Rope Trucker - Vancouver Canucks Third Skate
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0016,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-nhl-span-out-tee-shirt-vancouver-canucks-skate,www.thehockeyshop.com-J0016,47 Brand NHL Span Out Tee Shirt - Vancouver Canucks Skate,36.99,19.95,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-47-brand-nhl-span-out-tee-shirt-vancouver-canucks-skate-1221798187.webp?v=1772459290,47 Brand NHL Span Out Tee Shirt - Vancouver Canucks Skate
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0017,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-nhl-surround-tee-shirt-vancouver-canucks-orca,www.thehockeyshop.com-J0017,47 Brand NHL Surround Tee Shirt - Vancouver Canucks Orca,36.99,19.95,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/shirts-47-brand-nhl-surround-tee-shirt-vancouver-canucks-orca-1221790029.jpg?v=1772221750,47 Brand NHL Surround Tee Shirt - Vancouver Canucks Orca
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0018,thehockeyshop,https://www.thehockeyshop.com/products/47-brand-nhlpa-lacer-fleece-mens-hoody-vancouver-canucks-quinn-hughes,www.thehockeyshop.com-J0018,47 Brand NHLPA Lacer Fleece Mens Hoody - Vancouver Canucks Quinn Hughes,179.99,90.00,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/files/hoodies-47-brand-nhlpa-lacer-fleece-mens-hoody-vancouver-canucks-quinn-hughes-1221786809.jpg?v=1772124612,47 Brand NHLPA Lacer Fleece Mens Hoody - Vancouver Canucks Quinn Hughes
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0019,thehockeyshop,https://www.thehockeyshop.com/products/47-mvp-hat,www.thehockeyshop.com-J0019,47 Brand NHL MVP Adjustable Hat - Vancouver Canucks,34.99,29.98,CAD,true,In Stock,https://cdn.shopify.com/s/files/1/0020/1585/4658/products/47-brand-hats-vancouver-canucks-47-brand-nhl-mvp-adjustable-hat-blue-osfa-28743922548802.jpg?v=1768005202,47 Brand NHL MVP Adjustable Hat - Vancouver Canucks
20260320T135311Z,2026-03-20T13:59:08+00:00,scraped,scraped:thehockeyshop:www.thehockeyshop.com-J0020,thehockeyshop,https://www.thehockeyshop.com/products/ak-hockey-stripe-senior-hoody,www.thehockeyshop.com-J0020,Athletic Knit A1845 Hockey Stripe Senior Hoody -,49.99,24.95,CAD,true,In Stock,,Athletic Knit A1845 Hockey Stripe Senior Hoody -
